[2020-05-06 03:16:38.149] [default_log] [info] Called OnProgress: ulProgress 34126280, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.151] [default_log] [info] Called OnProgress: ulProgress 34142664, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.152] [default_log] [info] Called OnProgress: ulProgress 34159048, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.153] [default_log] [info] Called OnProgress: ulProgress 34175432, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.155] [default_log] [info] Called OnProgress: ulProgress 34191816, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.157] [default_log] [info] Called OnProgress: ulProgress 34208200, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.158] [default_log] [info] Called OnProgress: ulProgress 34224584, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.159] [default_log] [info] Called OnProgress: ulProgress 34240968, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.162] [default_log] [info] Called OnProgress: ulProgress 34257352, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.164] [default_log] [info] Called OnProgress: ulProgress 34273736, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.165] [default_log] [info] Called OnProgress: ulProgress 34290120, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.166] [default_log] [info] Called OnProgress: ulProgress 34306504, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.167] [default_log] [info] Called OnProgress: ulProgress 34322888, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.169] [default_log] [info] Called OnProgress: ulProgress 34339272, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.170] [default_log] [info] Called OnProgress: ulProgress 34355656, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.172] [default_log] [info] Called OnProgress: ulProgress 34372040, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.174] [default_log] [info] Called OnProgress: ulProgress 34388424, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.175] [default_log] [info] Called OnProgress: ulProgress 34404808, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.176] [default_log] [info] Called OnProgress: ulProgress 34421192, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.178] [default_log] [info] Called OnProgress: ulProgress 34437576, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.181] [default_log] [info] Called OnProgress: ulProgress 34453960, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.181] [default_log] [info] Called OnProgress: ulProgress 34470344, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.183] [default_log] [info] Called OnProgress: ulProgress 34486728, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.184] [default_log] [info] Called OnProgress: ulProgress 34503112, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.185] [default_log] [info] Called OnProgress: ulProgress 34519496, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.186] [default_log] [info] Called OnProgress: ulProgress 34535880, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.189] [default_log] [info] Called OnProgress: ulProgress 34552264, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.190] [default_log] [info] Called OnProgress: ulProgress 34568648, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.192] [default_log] [info] Called OnProgress: ulProgress 34585032, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.193] [default_log] [info] Called OnProgress: ulProgress 34601416, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.195] [default_log] [info] Called OnProgress: ulProgress 34617800, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.196] [default_log] [info] Called OnProgress: ulProgress 34634184, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.198] [default_log] [info] Called OnProgress: ulProgress 34650568, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.200] [default_log] [info] Called OnProgress: ulProgress 34666952, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.201] [default_log] [info] Called OnProgress: ulProgress 34683336, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.201] [default_log] [info] Called OnProgress: ulProgress 34699720, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.203] [default_log] [info] Called OnProgress: ulProgress 34716104, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.204] [default_log] [info] Called OnProgress: ulProgress 34732488, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.207] [default_log] [info] Called OnProgress: ulProgress 34748872, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.208] [default_log] [info] Called OnProgress: ulProgress 34765256, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.210] [default_log] [info] Called OnProgress: ulProgress 34781640, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.211] [default_log] [info] Called OnProgress: ulProgress 34798024, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.213] [default_log] [info] Called OnProgress: ulProgress 34814408, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.215] [default_log] [info] Called OnProgress: ulProgress 34830792, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.216] [default_log] [info] Called OnProgress: ulProgress 34847176, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.217] [default_log] [info] Called OnProgress: ulProgress 34863560, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.220] [default_log] [info] Called OnProgress: ulProgress 34879944, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.221] [default_log] [info] Called OnProgress: ulProgress 34896328, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.221] [default_log] [info] Called OnProgress: ulProgress 34912712, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.224] [default_log] [info] Called OnProgress: ulProgress 34929096, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.226] [default_log] [info] Called OnProgress: ulProgress 34945480, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.227] [default_log] [info] Called OnProgress: ulProgress 34961864, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.228] [default_log] [info] Called OnProgress: ulProgress 34978248, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.229] [default_log] [info] Called OnProgress: ulProgress 34994632, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.230] [default_log] [info] Called OnProgress: ulProgress 35011016, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.233] [default_log] [info] Called OnProgress: ulProgress 35027400, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.235] [default_log] [info] Called OnProgress: ulProgress 35043784, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.236] [default_log] [info] Called OnProgress: ulProgress 35060168, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.237] [default_log] [info] Called OnProgress: ulProgress 35076552, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.239] [default_log] [info] Called OnProgress: ulProgress 35092936, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
[2020-05-06 03:16:38.241] [default_log] [info] Called OnProgress: ulProgress 35109320, ulProgressMax: 67812364, ulStatusCode: 5, szStatusText: 0
